cities,country,date,lat,lng,temp_max,humid,wind,cloud
maputo,MZ,1539979200,-25.97,32.57,69.8,77,4.7,20
zhigansk,RU,1539981358,66.77,123.37,20.74,90,2.62,32
gat,SN,1539975600,14.69,-16.54,87.8,55,2.24,0
kharan,PK,1539981360,28.58,65.42,50.44,69,2.62,0
tashtagol,RU,1539981360,52.76,87.85,18.81,74,2.17,0
beisfjord,NO,1539978600,68.38,17.6,42.8,93,2.24,75
acapulco,MX,1539978540,16.86,-99.88,84.2,79,8.05,75
bangangte,CM,1539981363,5.14,10.52,65.56,83,1.05,12
cobija,BR,1539979200,-11.02,-68.77,95,50,5.82,75
pisco,PE,1539979200,-13.71,-76.2,66.2,77,10.29,0
mangrul pir,IN,1539981366,20.31,77.34,70.78,76,2.39,48
sabinas hidalgo,MX,1539981367,26.51,-100.18,66.06,90,4.07,68
kununurra,AU,1539979200,-15.77,128.74,80.6,74,3.51,90
ostersund,SE,1539978600,63.18,14.64,42.8,75,6.93,0
novikovo,UA,1539981370,45.05,34.56,50.08,100,2.06,8
ludza,LV,1539981371,56.55,27.72,33.12,84,3.51,12
taburi,,,,,,,,
cabo san lucas,MX,1539978000,22.89,-109.91,84.2,65,8.05,20
kargil,PK,1539981373,34.56,76.13,13.36,94,1.5,68
rawson,AR,1539981332,-43.3,-65.11,55.98,45,13.24,80
paita,PE,1539979200,-5.09,-81.11,77,65,16.11,0
sulangan,PH,1539981376,11.14,123.72,79.38,100,5.41,64
gueret,FR,1539979200,46.17,1.87,57.2,76,10.29,0
maceio,BR,1539979200,-9.67,-35.74,80.6,69,17.22,40
general pico,AR,1539981378,-35.66,-63.75,64.8,73,14.25,92
sabaudia,IT,1539978900,41.3,13.03,66.2,93,3.36,0
orange cove,US,1539978960,36.62,-119.31,80.6,29,5.82,1
derzhavinsk,KZ,1539981381,51.1,66.31,40.41,89,12.8,68
port-cartier,CA,1539979200,50.03,-66.88,32,100,9.17,75
redmond,US,1539979080,47.67,-122.12,60.8,76,3.36,1
lingao,CN,1539981384,19.91,109.69,76.41,98,13.13,76
samalaeulu,,,,,,,,
wanaka,NZ,1539981385,-44.7,169.14,49.36,58,2.62,0
saint-francois,FR,1539979200,46.42,3.91,48.2,93,3.36,0
chernyshevskiy,RU,1539981387,63.01,112.47,25.65,95,4.18,56
nexo,DK,1539980400,55.06,15.13,48.2,81,3.36,0
tolaga bay,NZ,1539981389,-38.37,178.3,62.73,70,4.07,0
reyes,BO,1539979200,-14.3,-67.34,98.6,47,11.41,40
kulhudhuffushi,MV,1539981391,6.62,73.07,82.93,100,5.64,80
hunza,,,,,,,,
silver city,US,1539980100,32.77,-108.28,64.4,59,8.05,90
whitehorse,CA,1539979200,60.72,-135.06,41,93,20.8,90
okmulgee,US,1539980880,35.62,-95.96,57.2,100,4.7,90
vakhrushev,RU,1539981395,48.99,142.86,23.04,100,2.62,0
bandarbeyla,SO,1539981396,9.49,50.81,75.69,100,5.19,92
okato,NZ,1539981397,-39.19,173.88,58.23,94,6.2,36
guerrero negro,MX,1539981398,27.97,-114.04,82.44,48,10.22,0
carauari,BR,1539981399,-4.88,-66.9,88.47,66,2.17,24
loukhi,RU,1539981400,66.08,33.04,34.78,100,6.76,0
ostrovnoy,RU,1539981401,68.05,39.51,35.86,100,4.63,92
bathsheba,BB,1539979200,13.22,-59.52,77,94,20.8,40
bang yai,TH,1539979200,13.84,100.36,82.4,83,3.36,20
barentu,ER,1539981404,15.11,37.59,64.17,95,2.73,48
dong hoi,VN,1539981405,17.48,106.6,76.23,100,3.74,92
whakatane,NZ,1539981187,-37.96,176.99,59.58,99,7.65,0
soanierana ivongo,MG,1539981200,-16.92,49.59,74.29,100,6.2,8
dongobesh,TZ,1539981408,-4.07,35.37,62.86,75,5.97,32
monte aprazivel,BR,1539979200,-20.77,-49.71,84.2,51,10.29,40
west wendover,US,1539978960,40.74,-114.07,57.2,41,3.36,1
titay,PH,1539981410,7.87,122.56,74.88,90,2.95,68
kamenskoye,,,,,,,,
port lincoln,AU,1539981412,-34.72,135.86,56.7,89,13.69,80
aldan,RU,1539981413,58.61,125.39,27.72,78,4.63,80
mityana,UG,1539979200,0.4,32.05,66.2,93,5.82,75
myszkow,PL,1539981000,50.58,19.32,50,93,2.24,75
veraval,FR,1539979200,49.65,0.71,51.8,87,6.93,0
svetlyy,,,,,,,,
taltal,CL,1539981417,-25.41,-70.49,66.06,67,3.74,0
kutum,SD,1539981418,14.2,24.66,60.88,18,7.99,0
bonavista,CA,1539981419,48.65,-53.11,40.99,100,10,80
tagusao,PH,1539981420,9.19,117.81,77.67,100,3.51,48
greenlaw,GB,1539980400,55.71,-2.46,50,93,6.93,0
sambava,MG,1539981422,-14.27,50.17,75.73,100,5.75,0
dingzhou,CN,1539979200,38.51,115,44.6,93,2.24,56
balakhninskiy,RU,1539981424,58.01,114.28,18.31,91,2.17,56
aden,YE,1539981425,12.79,45.03,82.8,98,14.7,32
kamenka,RU,1539981426,53.19,44.05,48.33,73,10.67,0
kedrovyy,RU,1539979200,56.17,91.82,26.6,100,2.39,80
nador,MA,1539979200,35.17,-2.93,66.2,68,2.24,20
punta alta,AR,1539979200,-27.46,-55.82,82.4,54,9.17,75
maragogi,BR,1539981430,-9.01,-35.22,77.94,79,11.01,0
buala,SB,1539981431,-8.15,159.59,79.33,100,1.95,64
saint-denis,FR,1539979200,48.94,2.36,57.2,76,3.36,0
antofagasta,CL,1539979200,-23.65,-70.4,62.6,63,17.22,40
tautira,PF,1539979200,-17.73,-149.15,84.2,66,14.99,20
roebourne,AU,1539981435,-20.77,117.15,56.25,87,2.06,0
yeniseysk,RU,1539981346,58.45,92.17,29.16,92,2.62,76
nome,US,1539980100,30.04,-94.42,84.2,66,10.29,40
tres arroyos,AR,1539981438,-38.38,-60.28,58.77,54,14.47,0
